Date,Dataset,Predicted Price,Trend
2021-05-12,processed_ds1,37747.434,Decrease
2021-05-13,processed_ds1,45004.95,Increase
2021-05-14,processed_ds1,44833.227,Decrease
2021-05-15,processed_ds1,39737.863,Decrease
2021-05-16,processed_ds1,43485.094,Increase
2021-05-17,processed_ds1,38321.83,Decrease
2021-05-18,processed_ds1,41141.69,Increase
2021-05-19,processed_ds1,35257.68,Decrease
2021-05-20,processed_ds1,45438.32,Increase
2021-05-21,processed_ds1,36330.598,Decrease
2021-05-22,processed_ds1,39757.99,Increase
2021-05-23,processed_ds1,35860.66,Decrease
2021-05-24,processed_ds1,45345.066,Increase
2021-05-25,processed_ds1,39248.973,Decrease
2021-05-26,processed_ds1,41670.707,Increase
2021-05-27,processed_ds1,38611.52,Decrease
2021-05-28,processed_ds1,35475.344,Decrease
2021-05-29,processed_ds1,36832.844,Increase
2021-05-30,processed_ds1,40531.805,Increase
2021-05-31,processed_ds1,42042.76,Increase
2021-06-01,processed_ds1,38003.047,Decrease
2021-06-02,processed_ds1,40789.695,Increase
2021-06-03,processed_ds1,42667.906,Increase
2021-06-04,processed_ds1,36076.227,Decrease
2021-06-05,processed_ds1,36668.812,Increase
2021-06-06,processed_ds1,39004.727,Increase
2021-06-07,processed_ds1,35302.46,Decrease
2021-06-08,processed_ds1,37490.7,Increase
2021-06-09,processed_ds1,44882.715,Increase
2021-06-10,processed_ds1,37982.34,Decrease
2021-06-11,processed_ds1,40227.777,Increase
2021-06-12,processed_ds1,35978.5,Decrease
2021-06-13,processed_ds1,44882.25,Increase
2021-06-14,processed_ds1,42972.613,Decrease
2021-06-15,processed_ds1,39834.973,Decrease
2021-06-16,processed_ds1,36974.45,Decrease
2021-06-17,processed_ds1,39148.96,Increase
2021-06-18,processed_ds1,35695.133,Decrease
2021-06-19,processed_ds1,38024.36,Increase
2021-06-20,processed_ds1,38736.28,Increase
2021-06-21,processed_ds1,33939.305,Decrease
2021-06-22,processed_ds1,39193.652,Increase
2021-06-23,processed_ds1,40160.266,Increase
2021-06-24,processed_ds1,40042.125,Decrease
2021-06-25,processed_ds1,34369.074,Decrease
2021-06-26,processed_ds1,38542.207,Increase
2021-06-27,processed_ds1,42554.836,Increase
2021-06-28,processed_ds1,37642.86,Decrease
2021-06-29,processed_ds1,41063.47,Increase
2021-06-30,processed_ds1,36962.285,Decrease
2021-07-01,processed_ds1,35709.47,Decrease
2021-07-02,processed_ds1,38145.812,Increase
2021-07-03,processed_ds1,39743.254,Increase
2021-07-04,processed_ds1,39292.58,Decrease
2021-07-05,processed_ds1,35612.203,Decrease
2021-07-06,processed_ds1,38937.383,Increase
2021-07-07,processed_ds1,37183.664,Decrease
2021-07-08,processed_ds1,35965.082,Decrease
2021-07-09,processed_ds1,39470.832,Increase
2021-07-10,processed_ds1,37096.77,Decrease
2021-07-11,processed_ds1,39168.32,Increase
2021-07-12,processed_ds1,35957.81,Decrease
2021-07-13,processed_ds1,36583.945,Increase
2021-07-14,processed_ds1,37512.582,Increase
2021-07-15,processed_ds1,35779.93,Decrease
2021-07-16,processed_ds1,36184.797,Increase
2021-07-17,processed_ds1,37022.58,Increase
